timestamp,seconds_late
2013-01-01 00:55:00,656
2013-01-01 05:20:00,-59
2013-01-01 07:55:00,49
2013-01-01 08:45:00,3019
2013-01-01 09:40:00,0
2013-01-01 11:30:00,0
2013-01-01 12:20:00,632
2013-01-01 13:10:00,0
2013-01-01 14:05:00,0
2013-01-01 14:55:00,681
2013-01-01 15:50:00,462
2013-01-01 16:35:00,1071
2013-01-01 17:30:00,0
2013-01-01 18:30:00,0
2013-01-01 19:10:00,0
2013-01-01 20:10:00,71
2013-01-01 20:55:00,0
2013-01-01 21:45:00,627
2013-01-01 22:35:00,0
2013-01-02 00:55:00,0
2013-01-02 04:45:00,0
2013-01-02 05:20:00,36
2013-01-02 06:20:00,157
2013-01-02 07:05:00,50
2013-01-02 07:55:00,408
2013-01-02 08:45:00,65
2013-01-02 09:40:00,87
2013-01-02 10:25:00,63
2013-01-02 11:30:00,207
2013-01-02 12:20:00,2
2013-01-02 13:10:00,126
2013-01-02 14:05:00,11
2013-01-02 14:55:00,56
2013-01-02 15:50:00,0
2013-01-02 16:35:00,175
2013-01-02 17:30:00,794
2013-01-02 18:30:00,0
2013-01-02 19:10:00,383
2013-01-02 20:10:00,72
2013-01-02 20:55:00,0
2013-01-02 21:45:00,0
2013-01-02 22:35:00,74
2013-01-03 00:55:00,11
2013-01-03 04:45:00,0
2013-01-03 05:20:00,90
2013-01-03 06:20:00,130
2013-01-03 07:05:00,74
2013-01-03 07:55:00,173
2013-01-03 08:45:00,57
2013-01-03 09:40:00,56
2013-01-03 10:25:00,0
2013-01-03 11:30:00,0
2013-01-03 12:20:00,0
2013-01-03 13:10:00,39
2013-01-03 14:05:00,57
2013-01-03 14:55:00,0
2013-01-03 15:50:00,13
2013-01-03 16:35:00,70
2013-01-03 17:30:00,329
2013-01-03 18:30:00,46
2013-01-03 19:10:00,151
2013-01-03 20:10:00,34
2013-01-03 20:55:00,10
2013-01-03 21:45:00,69
2013-01-03 22:35:00,35
2013-01-04 00:55:00,60
2013-01-04 04:45:00,28
2013-01-04 05:20:00,0
2013-01-04 06:20:00,-16
2013-01-04 07:05:00,0
2013-01-04 07:55:00,66
2013-01-04 08:45:00,14
2013-01-04 09:40:00,441
2013-01-04 10:25:00,0
2013-01-04 11:30:00,100
2013-01-04 12:20:00,11
2013-01-04 13:10:00,62
2013-01-04 14:05:00,17
2013-01-04 14:55:00,19
2013-01-04 15:50:00,35
2013-01-04 16:35:00,103
2013-01-04 17:30:00,476
2013-01-04 18:30:00,0
2013-01-04 19:10:00,598
2013-01-04 20:10:00,111
2013-01-04 20:55:00,30
2013-01-04 21:45:00,9
2013-01-04 22:35:00,50
2013-01-05 00:55:00,12
